"year","university","tuition_and_fees","total_expenses","total_salaries"
"2015","108092","13845767.0","76633200.0","34595700.0"
"2015","108232","277386567.0","294991000.0","103084000.0"
"2015","108250","8339003.0","7052500.0","3042040.0"
"2015","108269","1729065.0","1869750.0","1785760.0"
"2015","108348","794642.0","","288987.0"
"2015","108649","2136421.0","","757666.0"
"2015","108667","3730794.0","","15461700.0"
"2015","108807","4321342.0","94745900.0","41571500.0"
"2015","108852","7493673.0","6673380.0","3438640.0"
"2015","108861","463955.0","2714020.0","1097690.0"
"2015","108870","12245746.0","32031000.0","12833800.0"
"2015","108977","451907.0","","156653.0"
"2015","109040","62570043.0","66543900.0","25799800.0"
"2015","109086","2255664.0","22879600.0","10223600.0"
"2015","109208","9703541.0","","76977200.0"
"2015","109350","2984070.0","119069000.0","46121800.0"
"2015","109651","72264000.0","110374000.0","39363000.0"
"2015","109721","4226907.0","","1450050.0"
"2015","109730","2127509.0","","762709.0"
"2015","109785","182079798.0","238377000.0","116187000.0"
"2015","109819","6280689.0","196888000.0","50820400.0"
"2015","109907","664783.0","20708500.0","10472000.0"
"2015","109934","2537483.0","","1963970.0"
"2015","110060","1631646.0","4224030.0","1695720.0"
"2015","110097","117442000.0","152760000.0","71487500.0"
"2015","110185","11550248.0","17134500.0","6168070.0"
"2015","110194","1531062.0","","1161740.0"
"2015","110219","19254526.0","19396000.0","9736280.0"
"2015","110246","7981930.0","137561000.0","47177800.0"
"2015","110307","4521939.0","7148260.0","4063540.0"
"2015","110316","21111630.0","23830300.0","13767500.0"
"2015","110334","7838168.0","106173000.0","42882200.0"
"2015","110361","148893828.0","154880000.0","61624000.0"
"2015","110370","59012000.0","64494000.0","33718000.0"
"2015","110398","31209462.0","59547900.0","28472000.0"
"2015","110404","38065000.0","2417640000.0","284522000.0"
"2015","110413","77741201.0","106828000.0","50525800.0"
"2015","110422","161722079.0","411224000.0","172642000.0"
"2015","110468","58067889.0","68747100.0","35502700.0"
"2015","110486","23892901.0","136315000.0","59015300.0"
"2015","110495","35087447.0","146534000.0","61991000.0"
"2015","110501","3073494.0","478964000.0","53380700.0"
"2015","110510","62407246.0","265623000.0","116382000.0"
"2015","110529","95953496.0","323655000.0","141243000.0"
"2015","110538","76156467.0","256114000.0","111809000.0"
"2015","110547","52300879.0","195549000.0","84464800.0"
"2015","110556","74405764.0","318384000.0","137455000.0"
"2015","110565","172933165.0","518977000.0","218318000.0"
"2015","110574","83665282.0","240123000.0","106210000.0"
"2015","110583","154536147.0","479660000.0","223313000.0"
"2015","110592","87121975.0","324340000.0","139880000.0"
"2015","110608","182507980.0","516452000.0","221733000.0"
"2015","110617","121036118.0","408443000.0","170653000.0"
"2015","110635","730157000.0","","1173890000.0"
"2015","110644","460452000.0","","1932230000.0"
"2015","110653","446990000.0","","1151030000.0"
"2015","110662","668355000.0","","3050050000.0"
"2015","110671","275070000.0","","348507000.0"
"2015","110680","500926000.0","","1822440000.0"
"2015","110699","56919000.0","","2274410000.0"
"2015","110705","325013000.0","","449357000.0"
"2015","110714","223959000.0","","305819000.0"
"2015","110778","5658650.0","6629310.0","3223930.0"
"2015","110875","727293.0","","426665.0"
"2015","110918","138201.0","464004.0","246396.0"
"2015","111009","6019921.0","19959400.0","2372850.0"
"2015","111054","1809055.0","","999122.0"
"2015","111081","43815603.0","61750100.0","35253900.0"
"2015","111188","10487655.0","56280500.0","21536300.0"
"2015","111391","20612116.0","27921700.0","15199900.0"
"2015","111434","3224094.0","46761100.0","22990300.0"
"2015","111461","11743183.0","146379000.0","64157600.0"
"2015","111513","1368224.0","","859788.0"
"2015","111638","7040297.0","7211240.0","4257610.0"
"2015","111708","1645380.0","","653111.0"
"2015","111717","2759520.0","","1432240.0"
"2015","111726","2993696.0","","960006.0"
"2015","111744","751132.0","","584502.0"
"2015","111762","944933.0","","460053.0"
"2015","111799","795340.0","","224967.0"
"2015","111887","9484305.0","167981000.0","69570400.0"
"2015","111896","1518373.0","","14115400.0"
"2015","111920","8817957.0","119124000.0","42651400.0"
"2015","111939","9314421.0","144339000.0","63259200.0"
"2015","111948","222937879.0","252205000.0","121272000.0"
"2015","111966","13938500.0","47984300.0","22212400.0"
"2015","112075","58754662.0","65915800.0","30821700.0"
"2015","112084","17031370.0","16741700.0","8927310.0"
"2015","112127","538214.0","4717960.0","1627680.0"
"2015","112172","9683258.0","106027000.0","45887700.0"
"2015","112181","578662.0","","583000.0"
"2015","112190","19698403.0","315465000.0","139062000.0"
"2015","112251","39791883.0","69217900.0","34901600.0"
"2015","112260","43145000.0","103871000.0","44165000.0"
"2015","112288","4478604.0","","1204950.0"
"2015","112367","556358.0","","1184630.0"
"2015","112376","4242623.0","46783300.0","19038100.0"
"2015","112385","4605878.0","50788900.0","20668100.0"
"2015","112394","8463746.0","11242500.0","6432810.0"
"2015","112446","8203348.0","13642200.0","5684200.0"
"2015","112455","462404.0","","201571.0"
"2015","112525","166800801.0","174642000.0","86212500.0"
"2015","112561","922023.0","","10854300.0"
"2015","112570","7196671.0","7627620.0","2814340.0"
"2015","112686","1329367.0","46412000.0","21770600.0"
"2015","112817","0.0","279971000.0","8312450.0"
"2015","112826","3177459.0","","23791300.0"
"2015","113096","4541366.0","","37993500.0"
"2015","113111","1963543.0","","16940700.0"
"2015","113193","6732117.0","89837900.0","37373300.0"
"2015","113218","2260386.0","","22087300.0"
"2015","113236","7440024.0","","50300000.0"
"2015","113333","28587989.0","","75892500.0"
"2015","113449","1236065.0","","578819.0"
"2015","113537","619183.0","1136870.0","453397.0"
"2015","113573","5139307.0","106935000.0","35731100.0"
"2015","113582","3382925.0","3387210.0","1015210.0"
"2015","113634","25547932.0","","60148900.0"
"2015","113698","42307823.0","55093300.0","28513400.0"
"2015","113704","722617.0","2732550.0","1556930.0"
"2015","113856","12593463.0","","80515100.0"
"2015","113980","15493536.0","214888000.0","86096900.0"
"2015","114044","5110225.0","","1598670.0"
"2015","114114","2606291.0","3296240.0","2048170.0"
"2015","114123","5348534.0","5980850.0","3086110.0"
"2015","114266","3800084.0","","29111900.0"
"2015","114354","107970319.0","108794000.0","57420600.0"
"2015","114433","934118.0","22415200.0","7583840.0"
"2015","114460","2214762.0","","1550600.0"
"2015","114549","20601982.0","21428800.0","11227400.0"
"2015","114585","4800862.0","5630980.0","3498980.0"
"2015","114637","141659.0","","233945.0"
"2015","114716","21639096.0","","57479900.0"
"2015","114734","176646.0","1664050.0","890790.0"
"2015","114761","607365.0","","306697.0"
"2015","114789","5670151.0","155941000.0","70574000.0"
"2015","114813","46246459.0","55253900.0","28025500.0"
"2015","114831","10728115.0","328802000.0","4404100.0"
"2015","114840","22546000.0","65919000.0","30096000.0"
"2015","114859","12668148.0","","85645900.0"
"2015","114938","2225694.0","52304500.0","21799300.0"
"2015","114947","9008773.0","","3632980.0"
"2015","115001","10929346.0","150222000.0","65578000.0"
"2015","115010","9150753.0","","4251070.0"
"2015","115083","46535141.0","56758400.0","30581300.0"
"2015","115126","8085463.0","89158100.0","36282200.0"
"2015","115214","1770063.0","7924790.0","3928730.0"
"2015","115287","6409392.0","186676000.0","6508410.0"
"2015","115296","4162064.0","","43767900.0"
"2015","115357","364885.0","","147638.0"
"2015","115393","2283220.0","81391300.0","30794800.0"
"2015","115409","23273360.0","60657400.0","28023500.0"
"2015","115658","141915.0","","412590.0"
"2015","115728","17618010.0","31364200.0","15992300.0"
"2015","115746","20352692.0","20689800.0","9860690.0"
"2015","115755","36070983.0","154626000.0","72167400.0"
"2015","115773","9425515.0","9807730.0","5598760.0"
"2015","115861","2353129.0","72779900.0","26941200.0"
"2015","115931","4206363.0","","1654060.0"
"2015","116226","2758933.0","2978740.0","1072140.0"
"2015","116350","3699870.0","","1955460.0"
"2015","116439","11830212.0","","40871200.0"
"2015","116466","19611210.0","10808800.0","4193850.0"
"2015","116475","9003174.0","7149090.0","2656000.0"
"2015","116484","13680581.0","8513450.0","3418300.0"
"2015","116563","2205361.0","","1917020.0"
"2015","116712","21692153.0","24943800.0","12654700.0"
"2015","116846","3561112.0","22932600.0","9165860.0"
"2015","117052","4640340.0","100258000.0","46761300.0"
"2015","117104","4785663.0","8335310.0","3496820.0"
"2015","117113","15070446.0","30067700.0","9320440.0"
"2015","117140","132517562.0","140190000.0","66887800.0"
"2015","117168","9985393.0","11328700.0","5219840.0"
"2015","117195","1193273.0","20844800.0","9446080.0"
"2015","117238","1553118.0","","387230.0"
"2015","117247","7470579.0","","29196500.0"
"2015","117274","1343613.0","13292300.0","8581800.0"
"2015","117520","16312497.0","18280400.0","9725630.0"
"2015","117557","5695687.0","5123390.0","2355800.0"
"2015","117575","1665450.0","2370770.0","1180000.0"
"2015","117627","62042514.0","76774900.0","25459100.0"
"2015","117636","146176975.0","283321000.0","128931000.0"
"2015","117645","10193868.0","211174000.0","80885100.0"
"2015","117672","20965089.0","22871600.0","10781100.0"
"2015","117681","0.0","1224090000.0","30689300.0"
"2015","117690","5390979.0","","31290300.0"
"2015","117706","10613952.0","","52959500.0"
"2015","117715","1405180.0","","26365500.0"
"2015","117724","3387891.0","","49151500.0"
"2015","117733","6997852.0","","51048200.0"
"2015","117751","21524575.0","36365700.0","17125500.0"
"2015","117788","8631826.0","","53505200.0"
"2015","117803","550673.0","","2823850.0"
