"year","university","tuition_and_fees","total_expenses"
"2015","117894","3408532.0",""
"2015","117900","4142.0","466069000.0"
"2015","117928","13713945.0","31436800.0"
"2015","117946","252497000.0","334697000.0"
"2015","117955","2884642.0",""
"2015","118134","728865.0",""
"2015","118143","485910.0",""
"2015","118161","1666278.0",""
"2015","118189","256907.0",""
"2015","118198","9250182.0","8062380.0"
"2015","118259","7350318.0","6504220.0"
"2015","118277","20751548.0","15832200.0"
"2015","118286","12310168.0","10018800.0"
"2015","118347","4324588.0","76102600.0"
"2015","118541","23572766.0","29852700.0"
"2015","118684","1146236.0","37460500.0"
"2015","118693","15262773.0","25968700.0"
"2015","118718","4116406.0","97685600.0"
"2015","118772","4286547.0",""
"2015","118888","31179321.0","68319700.0"
"2015","118912","12615260.0","129605000.0"
"2015","118930","5525621.0",""
"2015","118958","361437.0",""
"2015","118967","12011922.0","8997420.0"
"2015","118976","6037547.0",""
"2015","118994","1167905.0",""
"2015","119067","4169587.0","47128000.0"
"2015","119137","9638555.0",""
"2015","119164","17932915.0","278585000.0"
"2015","119173","62207110.0","81214000.0"
"2015","119216","5582743.0","95407600.0"
"2015","119234","1537323.0","1994010.0"
"2015","119270","27704687.0","27212200.0"
"2015","119331","4339009.0","59706500.0"
"2015","119553","10382894.0",""
"2015","119605","215095368.0","218156000.0"
"2015","119775","9430000.0","15910000.0"
"2015","119845","1323539.0",""
"2015","119951","2756109.0",""
"2015","120023","0.0","301077000.0"
"2015","120069","3743453.0",""
"2015","120078","7030308.0","6808220.0"
"2015","120087","2823967.0",""
"2015","120184","28991316.0","40049100.0"
"2015","120254","59070603.0","111988000.0"
"2015","120272","850501.0",""
"2015","120290","10211296.0","70739300.0"
"2015","120342","13809684.0","152279000.0"
"2015","120403","34829645.0","40106100.0"
"2015","120421","1844224.0",""
"2015","120537","12380281.0","20767800.0"
"2015","120661","12373000.0","12481000.0"
"2015","120698","27189052.0","28226600.0"
"2015","120768","17817032.0","16224100.0"
"2015","120795","1314840.0","7175580.0"
"2015","120838","2356886.0","2453140.0"
"2015","120865","26099404.0","49755900.0"
"2015","120883","221926821.0","311234000.0"
"2015","120953","484533.0","19629400.0"
"2015","120971","16061246.0","189178000.0"
"2015","121017","407611.0",""
"2015","121044","23894734.0","222069000.0"
"2015","121150","217729000.0","302489000.0"
"2015","121178","0.0","265062000.0"
"2015","121257","49936405.0","57339700.0"
"2015","121275","5498047.0","5047780.0"
"2015","121309","66386355.0","85828800.0"
"2015","121345","38557000.0","157134000.0"
"2015","121363","1012167.0",""
"2015","121433","449630.0",""
"2015","121619","7572904.0",""
"2015","121628","1284716.0",""
"2015","121637","213622.0",""
"2015","121691","97197532.0","123082000.0"
"2015","121707","3571620.0","68706700.0"
"2015","121859","1301180.0",""
"2015","121868","2636271.0",""
"2015","121886","5582909.0","124331000.0"
"2015","121901","8577905.0","139261000.0"
"2015","121983","4666625.0","6436200.0"
"2015","121992","75984.0",""
"2015","122117","1409271.0","2258770.0"
"2015","122126","1435462.0","3555780.0"
"2015","122180","7453255.0",""
"2015","122205","22609997.0",""
"2015","122296","57186423.0","53774200.0"
"2015","122320","21322675.0","444498000.0"
"2015","122339","5103221.0","106383000.0"
"2015","122366","4491781.0","17966300.0"
"2015","122375","5356122.0","111655000.0"
"2015","122384","2864793.0","59720200.0"
"2015","122409","212228105.0","538888000.0"
"2015","122436","226974000.0","293522000.0"
"2015","122454","19496033.0","22559400.0"
"2015","122506","9889000.0","20161000.0"
"2015","122597","135251637.0","456678000.0"
"2015","122603","450513.0","8555830.0"
"2015","122612","282145000.0","342592000.0"
"2015","122649","3598840.0","4136640.0"
"2015","122658","6081296.0","160999000.0"
"2015","122685","68659032.0","91504800.0"
"2015","122728","17374265.0","28039100.0"
"2015","122737","0.0","176001000.0"
"2015","122746","4644547.0",""
"2015","122755","192678377.0","430842000.0"
"2015","122782","3754997.0","54461200.0"
"2015","122791","5342432.0","77484800.0"
"2015","122834","11088440.0",""
"2015","122852","3503169.0",""
"2015","122889","27579911.0","167971000.0"
"2015","122931","239322000.0","326560000.0"
"2015","122977","55161735.0","252866000.0"
"2015","123013","15071627.0","173766000.0"
"2015","123095","9880025.0","12134200.0"
