university,tuition_and_fees,pell_grants,total_expenses,total_salaries,retention_rate_ft
372073,7438190,2424530,6516990,3378730,65
230056,9442655,1756540,16347900,3914340,
211617,10058719,2554660,8210330,3285560,74
250902,344250,203500,,281390,70
374574,6450606,2344390,,2674620,
230366,4003730,1098110,5599660,1497660,83
214892,3309415,1227290,4768570,2213840,44
251251,3775540,989250,4439820,1600500,33
375984,4135095,1633890,,1164750,54
215415,31640413,6711470,39490500,16670500,
230977,7355609,648345,10948400,4775360,
260293,15219337,6614030,6438210,2163750,37
232016,5580789,1340120,5332860,2084270,
376321,14943511,11322500,14608700,4867950,44
407328,1389225,407154,2004540,678218,50
232797,20811398,6586490,24477600,8053720,73
260691,8667232,4065040,11685100,5279720,62
377458,6028314,1560780,4357040,2010690,
408844,34594758,8362590,32020200,17846600,61
233684,82621110,8220790,56437800,14740400,46
260901,505873915,120112000,471232000,194784000,52
377652,4299798,1382590,5897410,1782360,
410520,3452156,1123510,4940790,4940790,43
234401,504645,238626,,302431,
260910,5738508,1456360,4937500,2041220,
378576,6020008,422065,7593190,4147390,75
413413,401941000,20066000,359400000,158380000,100
237437,5029726,3212310,4977220,2554320,84
262332,16196743,5418010,19104400,5130370,71
379782,2154689,681130,1992240,985297,91
413884,8835905,2569890,7017130,2300630,67
237598,1793127,952561,1790000,782584,75
363439,3711972,958194,,1440860,76
380438,6384887,1425250,8199270,2857590,100
237783,11426203,1548840,13299400,5330300,88
415729,88835,29456,,8210,29
363934,16059937,1755670,18299500,6440140,67
380474,18370806,4758310,,6785300,100
436191,8287523,2245550,,2779090,39
418384,109241,31720,,78901,61
364168,7235156,1096250,11889200,3933610,33
384412,5411894,676361,8812520,2827640,71
436429,39327263,8313800,41073200,16407300,
366289,20867948,5089510,,4392370,40
418782,2561071,2005470,,754740,33
386472,8064203,1617440,7372280,2830610,33
367024,11653132,3017920,8124830,3579820,80
436599,1318276,142144,1176280,411426,100
420307,51576551,13510300,192358000,12310200,83
390701,148362370,70395000,28105300,1914580,
367097,1737113,695948,1781730,672314,77
420370,4988091,2343560,,2991080,46
437097,6602609,498441,4048620,922381,
393977,574847,285390,,234075,71
367112,7447163,3919830,6961610,1451660,100
422695,2900000,779420,3335310,2856800,
437662,32370407,13418900,41533400,14710200,86
397270,1681409,666034,1879640,1833840,
368629,8571872,1606680,9375000,3849720,
422835,643034,1796830,,1889200,56
