,year,university,tuition_and_fees,pell_grants,total_expenses,total_salaries
4003,2015,237598,1793127.0,952561.0,1790000.0,782584.0
4008,2015,237783,11426203.0,1548840.0,13299400.0,5330300.0
4019,2015,237996,6859760.0,2609780.0,5926460.0,2635900.0
4083,2015,240392,43956844.0,10592700.0,40266200.0,15620900.0
4153,2015,242972,8458435.0,13800800.0,65669000.0,30312500.0
4220,2015,247065,10636656.0,3236340.0,21541600.0,7199960.0
4226,2015,247700,6073685.0,2052860.0,,1584520.0
4241,2015,248882,3996475.0,1144340.0,,742223.0
4243,2015,248934,190148194.0,37145700.0,154457000.0,70440300.0
4252,2015,250902,344250.0,203500.0,,281390.0
4255,2015,251251,3775540.0,989250.0,4439820.0,1600500.0
4258,2015,260293,15219337.0,6614030.0,6438210.0,2163750.0
4265,2015,260691,8667232.0,4065040.0,11685100.0,5279720.0
4268,2015,260901,505873915.0,120112000.0,471232000.0,194784000.0
4269,2015,260910,5738508.0,1456360.0,4937500.0,2041220.0
4288,2015,262332,16196743.0,5418010.0,19104400.0,5130370.0
4301,2015,363439,3711972.0,958194.0,,1440860.0
4309,2015,363934,16059937.0,1755670.0,18299500.0,6440140.0
4313,2015,364168,7235156.0,1096250.0,11889200.0,3933610.0
4350,2015,366289,20867948.0,5089510.0,,4392370.0
4372,2015,367024,11653132.0,3017920.0,8124830.0,3579820.0
4375,2015,367097,1737113.0,695948.0,1781730.0,672314.0
4377,2015,367112,7447163.0,3919830.0,6961610.0,1451660.0
4401,2015,368629,8571872.0,1606680.0,9375000.0,3849720.0
4414,2015,369516,5457277.0,1271500.0,,2752460.0
4421,2015,369862,4956636.0,2190900.0,6841790.0,854942.0
4432,2015,372073,7438190.0,2424530.0,6516990.0,3378730.0
4455,2015,374574,6450606.0,2344390.0,,2674620.0
4474,2015,375984,4135095.0,1633890.0,,1164750.0
4477,2015,376321,14943511.0,11322500.0,14608700.0,4867950.0
4494,2015,377458,6028314.0,1560780.0,4357040.0,2010690.0
4497,2015,377652,4299798.0,1382590.0,5897410.0,1782360.0
4504,2015,378576,6020008.0,422065.0,7593190.0,4147390.0
4510,2015,379782,2154689.0,681130.0,1992240.0,985297.0
4516,2015,380438,6384887.0,1425250.0,8199270.0,2857590.0
4519,2015,380474,18370806.0,4758310.0,,6785300.0
4568,2015,384412,5411894.0,676361.0,8812520.0,2827640.0
4576,2015,386472,8064203.0,1617440.0,7372280.0,2830610.0
4585,2015,390701,148362370.0,70395000.0,28105300.0,1914580.0
4599,2015,393977,574847.0,285390.0,,234075.0
4603,2015,397270,1681409.0,666034.0,1879640.0,1833840.0
4605,2015,398130,5167197.0,1855370.0,7490310.0,3359800.0
4613,2015,401339,1500668.0,1204990.0,,1007090.0
4627,2015,404338,8249077.0,596402.0,10079900.0,2447050.0
4639,2015,404912,9371713.0,2223110.0,9393180.0,3827850.0
